season,manager,position,player,club,cost
2023-24,Yath,GK,Jose Sa,WOL,0.5
2023-24,Yath,FWD,Yoane Wissa,BRE,0.5
2023-24,Yath,DEF,Pervis Estupinan,BHA,5.25
2023-24,Yath,DEF,Fabian Schar,NEW,1.5
2023-24,Yath,DEF,James Tarkowski,EVE,2.0
2023-24,Yath,DEF,Kenny Tete,FUL,0.75
2023-24,Yath,DEF,Alex Moreno,AVL,0.25
2023-24,Yath,MID,Jack Grealish,MCI,7.25
2023-24,Yath,MID,Kaoru Mitoma,BHA,8.25
2023-24,Yath,MID,Morgan Gibbs-White,NFO,7.0
2023-24,Yath,MID,Emiliano Buendia,AVL,0.0
2023-24,Yath,MID,Hamed Traore,BOU,0.25
2023-24,Yath,FWD,Cody Gakpo,LIV,8.0
2023-24,Yath,FWD,Carlton Morris,LUT,2.75
2023-24,Yath,FWD,Bryan Mbeumo,BRE,5.75
2023-24,Deepesh,GK,Kepa,CHE,0.0
2023-24,Deepesh,GK,Robert Sanchez,CHE,0.0
2023-24,Deepesh,DEF,Luke Shaw,MUN,4.5
2023-24,Deepesh,DEF,Aaron Wan-Bissaka,MUN,0.0
2023-24,Deepesh,DEF,Jordan Beyer,BUR,0.25
2023-24,Deepesh,DEF,Matty Cash,AVL,0.25
2023-24,Deepesh,DEF,Tom Lockyer,LUT,0.25
2023-24,Deepesh,MID,Bukayo Saka,ARS,17.5
2023-24,Deepesh,MID,Mykhailo Mudryk,CHE,6.0
2023-24,Deepesh,MID,Youri Tielemans,AVL,0.25
2023-24,Deepesh,MID,Pablo Sarabia,WOL,0.0
2023-24,Deepesh,MID,Justin Kluivert,NFO,0.25
2023-24,Deepesh,FWD,Gabriel Jesus,ARS,12.5
2023-24,Deepesh,FWD,Rasmus Hojlund,MUN,8.0
2023-24,Deepesh,FWD,Matheus Franca,CRY,0.0
2023-24,Ciaran,GK,James Shea,LUT,0.0
2023-24,Ciaran,GK,Neto,BOU,0.0
2023-24,Ciaran,DEF,Anel Ahmedhodzic,SHU,0.0
2023-24,Ciaran,DEF,Milos Kerkez,BOU,0.0
2023-24,Ciaran,DEF,Cristian Romero,TOT,0.0
2023-24,Ciaran,DEF,Kurt Zouma,WHU,0.0
2023-24,Ciaran,DEF,Rico Lewis,MCI,0.0
2023-24,Ciaran,MID,Pascal Gross,BHA,5.5
2023-24,Ciaran,MID,Jadon Sancho,MUN,0.0
2023-24,Ciaran,MID,Miguel Almiron,NEW,0.0
2023-24,Ciaran,MID,David Brooks,BOU,0.0
2023-24,Ciaran,DEF,Tino Livramento,NEW,0.0
2023-24,Ciaran,FWD,Harry Kane,TOT,10.0
2023-24,Ciaran,FWD,Mohamed Salah,LIV,29.0
2023-24,Ciaran,FWD,Diogo Jota,LIV,5.5
2023-24,Gav,GK,Lukas Fabianski,WHU,0.25
2023-24,Gav,GK,Vicario,TOT,0.0
2023-24,Gav,DEF,Kieran Trippier,NEW,12.0
2023-24,Gav,DEF,Trent Alexander-Arnold,LIV,15.75
2023-24,Gav,DEF,Felipe,NFO,0.0
